fromId,toId,distance
694,390,599.9208549913293
390,122,420.5107376992877
122,610,200.17750580849088
610,744,704.0683519129639
744,331,536.9998040052158
331,313,515.3713376481066
313,98,594.1199499222696
98,487,241.99138402664113
487,805,384.1230138760361
805,70,742.7356377347555
70,222,616.2817120133651
222,555,520.9993357833844
555,739,414.87302167268643
739,37,373.84262476519916
37,778,561.4267827826857
778,407,203.96324548805222
407,477,173.9799196984016
477,742,210.97567184539935
742,497,297.8296925565559
497,468,171.9818696644697
468,577,170.99986404927708
577,138,171.99801200662975
138,808,171.99983869763977
808,210,171.85630024245475
210,241,170.9567055517564
241,738,171.8497480139848
738,543,172.92763436759128
543,268,453.88140692371076
268,482,255.29527350464934
482,638,394.8146570501403
638,310,428.2841476608139
310,619,465.96959377771805
619,193,620.8555578681494
193,425,439.00000028265333
425,528,286.18672653649037
528,539,444.7275389082528
539,720,579.6947430903112
720,721,539.7439290497873
721,540,600.7781485822519
540,697,451.2512464499222
697,253,470.8036260013197
253,263,354.75220834516847
263,34,269.92927340270165
34,723,452.0112374344343
723,399,649.026479413867
399,278,334.9719934374221
278,531,405.0267526199281
531,467,471.99305013458337
467,295,275.57341688056516
295,726,502.15507316453557
726,567,440.53659802187326
567,507,331.247154242303
507,412,412.9355927956904
412,737,364.1669110059058
737,799,262.3795598848115
799,440,232.42253724144734
440,267,587.3648648252793
267,608,619.7520547118002
608,406,553.4703624741018
406,20,336.00000022807274
20,348,357.00000025826256
348,580,491.2176611154793
580,532,389.93693600083003
532,245,408.63710985182144
245,802,479.9977219462259
802,22,579.9998720177732
22,395,620.0000004821952
395,254,522.1129658295695
254,641,451.7514304660605
641,227,348.0865768355426
227,595,344.46655264117226
440,832,357.3389305509943
832,520,297.84773620078187
520,252,586.4512934680052
252,130,320.93752988132945
130,600,444.49276311752703
600,773,543.0493339996162
773,257,500.2559920829165
257,21,742.0696078195958
21,828,518.8065446493378
828,603,520.2043106988218
603,73,521.8977660539061
73,411,519.9991607866815
411,27,525.9279823244879
27,39,611.2558259127771
39,457,555.4416236664723
457,6,517.4586122346108
6,711,529.9997978885347
711,623,511.2918996278869
623,109,520.0000003703036
109,688,522.4258133808816
638,277,173.26638391227158
277,54,449.46355867942106
54,165,314.19544936310615
165,414,427.4765671901486
414,214,289.5005463952326
214,248,356.4718125536564
248,259,224.356160363349
259,698,542.8670228129124
698,959,140.60895024442613
959,373,396.01929455497515
373,132,664.6826175228161
132,838,256.9733637036035
838,319,539.063531852139
319,441,444.9807339084691
441,625,513.9318748122672
625,334,32.20506038349282
334,585,451.3241092337709
585,751,211.91560696266973
751,635,338.2495579630309
635,311,348.6389759917234
311,250,280.9216978284216
250,65,933.7416058893873
65,549,405.10112791190653
549,336,378.7759529262974
336,273,317.4191691486047
273,709,313.13014689597713
709,23,57.000000051701505
