edge.fromid,edge.toid,edge.distance
170,282,352.8959722662386
39,457,555.4416236664723
916,915,436.6425416495468
128,651,169.89076184069094
273,709,313.13014689597713
376,255,544.7111876659678
408,269,449.53566955041254
275,966,67.44277239813114
616,359,325.29778516572406
115,759,318.2506792376823
491,670,374.40239236949907
462,86,171.92343574472807
442,706,321.24097921874596
903,841,269.43265294092674
533,666,874.3802129909045
704,49,381.4909920495629
647,583,532.6736731357121
694,390,599.9208549913293
278,531,405.0267526199281
695,292,555.5667987705295
624,636,501.4929687850633
751,450,407.5008501153616
932,939,9.77881679911277
93,413,311.7686908428633
662,70,521.5430624495108
311,250,280.9216978284216
165,414,427.4765671901486
99,656,398.62877106107527
840,881,4275.907654300565
23,388,544.9407487017564
966,789,70.55133195028671
687,63,368.6412520959861
932,911,5258.984811067178
72,89,501.3250369915579
532,245,408.63710985182144
756,242,161.9175102171004
121,229,389.3547402649156
231,391,344.7457860037931
709,23,57.000000051701505
700,305,409.9284053687327
302,760,577.2755344229945
646,188,582.4036852954474
182,316,105.90676507324966
257,21,742.0696078195958
224,430,115.55103322088372
951,911,7.643948819447497
123,103,328.3176928013825
865,19,336.9804444733359
450,209,598.7484810769087
720,721,539.7439290497873
446,546,309.7126088612543
504,647,406.5687159596506
203,362,458.3215501189332
572,584,460.00000041585827
944,914,2.2782851051788557
800,613,519.9943853431705
400,415,128.28697667423722
118,653,400.00000034692175
666,143,258.00000020480866
417,829,225.32358361513167
497,468,171.9818696644697
672,812,161.36754520724142
4,370,176.95904987711106
331,313,515.3713376481066
123,54,452.7301036085902
458,185,120.36722178926404
884,927,439.4347835796442
939,932,9.77881679911277
901,906,1520.4271512003734
511,710,399.9539499199301
461,646,522.2326841778041
243,324,176.96687573643354
548,922,5274.928280581494
194,601,175.0000001568956
133,972,82.02920773190164
226,837,548.163430408564
460,325,397.23738830980955
81,975,540.7671219623537
760,857,351.21452877280535
708,120,524.9986643236648
649,314,169.99559372511334
348,580,491.2176611154793
84,349,612.4474972931504
486,191,521.4007014700347
636,677,337.99965060409977
643,970,686.734509365956
584,547,599.8657521213743
37,778,561.4267827826857
259,31,271.7817792000254
677,285,298.47442526175155
440,267,587.3648648252793
21,828,518.8065446493378
471,662,471.99993119752884
535,137,264.58244956908663
437,115,274.8962864024649
894,918,680.3715050077587
554,465,600.0000005347339
567,507,331.247154242303
373,42,523.6220400307052
875,494,491.77025754501375
880,870,885.9892408881198
155,280,219.99701999134837
736,544,757.0159663304954
971,703,357.60249424127187
830,30,405.3389534094691
120,484,393.94877803431683
183,683,130.77720917178252
